,0
0,34281299
1,34143970
2,34122682
3,34082142
4,34081625
5,34079535
6,34078408
7,34069412
8,34037760
9,34019819
10,33994796
11,33989558
12,33947099
13,33916192
14,33909203
15,33902485
16,33882374
17,33877728
18,33877274
19,33868301
20,33861459
21,33861441
22,33861440
23,33861434
24,33861432
25,33849723
26,33824876
27,33816632
28,33815363
29,33809062
30,33808784
31,33808079
32,33807703
33,33805552
34,33804123
35,33781794
36,33773120
37,33763399
38,33757459
39,33735712
40,33707426
41,33686064
42,33675343
43,33670999
44,33670519
45,33651470
46,33648464
47,33645417
48,33629254
49,33628776
50,33592339
51,33572918
52,33569250
53,33561426
54,33539944
55,33533516
56,33515740
57,33505154
58,33503446
59,33502416
60,33481829
61,33481771
62,33479499
63,33477821
64,33466285
65,33462580
66,33444172
67,33428638
68,33422764
69,33412571
70,33406080
71,33382859
72,33370688
73,33358704
74,33343579
75,33343577
76,33322063
77,33311648
78,33306418
79,33300039
80,33288923
81,33284999
82,33271884
83,33268017
84,33266447
85,33261156
86,33255561
87,33246021
88,33237972
89,33225399
90,33196464
91,33188423
92,33186740
93,33177477
94,33176887
95,33169920
96,33168793
97,33152947
98,33150590
99,33148714
100,33148211
101,33138210
102,33130319
103,33128496
104,33128437
105,33125518
106,33119048
107,33116266
108,33112463
109,33106167
110,33092653
111,33092501
112,33087514
113,33067121
114,33066859
115,33066081
116,33055441
117,33049929
118,33048222
119,33033851
120,33025927
121,33024084
122,33023132
123,33016783
124,33006504
125,33002009
126,32991046
127,32979419
128,32978281
129,32976501
130,32968158
131,32949412
132,32936838
133,32932711
134,32930458
135,32919527
136,32917913
137,32900329
138,32885808
139,32880572
140,32867698
141,32862238
142,32860791
143,32828825
144,32824387
145,32822600
146,32817142
147,32810144
148,32801436
149,32790263
150,32779011
151,32771018
152,32756643
153,32751340
154,32749096
155,32747213
156,32740891
157,32739411
158,32737354
159,32736046
160,32725873
161,32723675
162,32712965
163,32702299
164,32697858
165,32678716
166,32638445
167,32630786
168,32629663
169,32627205
170,32627130
171,32622884
172,32619647
173,32619212
174,32615658
175,32612233
176,32611242
177,32609563
178,32609523
179,32597619
180,32594779
181,32593960
182,32593117
183,32591573
184,32566096
185,32555601
186,32544846
187,32542818
188,32541662
189,32535224
190,32532356
191,32532035
192,32528460
193,32513564
194,32513312
195,32507446
196,32498269
197,32481440
198,32475359
199,32473365
200,32464281
201,32457071
202,32453396
203,32450106
204,32446932
205,32438192
206,32429733
207,32424106
208,32421218
209,32420383
210,32420377
211,32420357
212,32415664
213,32404173
214,32376702
215,32366260
216,32359506
217,32358482
218,32357944
219,32354031
220,32350392
221,32350175
222,32347778
223,32341414
224,32319465
225,32318062
226,32317001
227,32316864
228,32286939
229,32279690
230,32278621
231,32272653
232,32267031
233,32245502
234,32243009
235,32232846
236,32232363
237,32227638
238,32223044
239,32214033
240,32213108
241,32208125
242,32194042
243,32188704
244,32178964
245,32173273
246,32164205
247,32155134
248,32150484
249,32149378
250,32147075
251,32143716
252,32125889
253,32125421
254,32118508
255,32114570
256,32114502
257,32111770
258,32107439
259,32102662
260,32100301
261,32098988
262,32096887
263,32087121
264,32079472
265,32078016
266,32070401
267,32066625
268,32052032
269,32049634
270,32014055
271,31999492
272,31985294
273,31982355
274,31975558
275,31969566
276,31952145
277,31941795
278,31911611
279,31903873
280,31886209
281,31885802
282,31883845
283,31883218
284,31876460
285,31870764
286,31868149
287,31861777
288,31861252
289,31860203
290,31852916
291,31849306
292,31845424
293,31833621
294,31831820
295,31831766
296,31818232
297,31817080
298,31815739
299,31815647
300,31812463
301,31812184
302,31812183
303,31806627
304,31794435
305,31792768
306,31792705
307,31790692
308,31786155
309,31783136
310,31780017
311,31771409
312,31758475
313,31752836
314,31749618
315,31749128
316,31743554
317,31732831
318,31730565
319,31722556
320,31722146
321,31722143
322,31722141
323,31703023
324,31697824
325,31690732
326,31681257
327,31678370
328,31678069
329,31673068
330,31672132
331,31668885
332,31668393
333,31665141
334,31654649
335,31645451
336,31642984
337,31639692
338,31629742
339,31628465
340,31628359
341,31612072
342,31592698
343,31590426
344,31588660
345,31577041
346,31572379
347,31557666
348,31548342
349,31538907
350,31525384
351,31523780
352,31520001
353,31519550
354,31515250
355,31512028
356,31493397
357,31481800
358,31469663
359,31468596
360,31465532
361,31461548
362,31446153
363,31440871
364,31432689
365,31424322
366,31423757
367,31423751
368,31415677
369,31409398
370,31408508
371,31405697
372,31405061
373,31395435
374,31382835
375,31376438
376,31375659
377,31364586
378,31359629
379,31353789
380,31352597
381,31349020
382,31342226
383,31335198
384,31322496
385,31321428
386,31318863
387,31308197
388,31279865
389,31277052
390,31273244
391,31263284
392,31259734
393,31255574
394,31254392
395,31251351
396,31248067
397,31239111
398,31233687
399,31229087
400,31202686
401,31200505
402,31194785
403,31188268
404,31182491
405,31182141
406,31177183
407,31168845
408,31162597
409,31155415
410,31152658
411,31152545
412,31146534
413,31142636
414,31140297
415,31136659
416,31134707
417,31131491
418,31128326
419,31126528
420,31126121
421,31115552
422,31108510
423,31104357
424,31097732
425,31093318
426,31087608
427,31063507
428,31049136
429,31046251
430,31043597
431,31011207
432,31004310
433,31004095
434,31003666
435,30999963
436,30995824
437,30991137
438,30991136
439,30986260
440,30982861
441,30978464
442,30975228
443,30971437
444,30971278
445,30967657
446,30958695
447,30954261
448,30941824
449,30935966
450,30930896
451,30929591
452,30922727
453,30920854
454,30898689
455,30898175
456,30893377
457,30882244
458,30880912
459,30867034
460,30856542
461,30850896
462,30849537
463,30841655
464,30839402
465,30837170
466,30827722
467,30813966
468,30803843
469,30797045
470,30796508
471,30796179
472,30784635
473,30782801
474,30777123
475,30777015
476,30776899
477,30771790
478,30759104
479,30758216
480,30742894
481,30737480
482,30736083
483,30723319
484,30717465
485,30717112
486,30715684
487,30714968
488,30713538
489,30711698
490,30707743
491,30705390
492,30705347
493,30689703
494,30688656
495,30682078
496,30668322
497,30667205
498,30661467
499,30655172
500,30646532
501,30641142
502,30621298
503,30621124
504,30616912
505,30613990
506,30611803
507,30604790
508,30601156
509,30592889
510,30592848
511,30592845
512,30585111
513,30574801
514,30573748
515,30571183
516,30567535
517,30567286
518,30566602
519,30556263
520,30555484
521,30539266
522,30534349
523,30521534
524,30486884
525,30475967
526,30475960
527,30475831
528,30471555
529,30471188
530,30466622
531,30465412
532,30453344
533,30452928
534,30448180
535,30442752
536,30441880
537,30439760
538,30425247
539,30424822
540,30423451
541,30415889
542,30415439
543,30414275
544,30405875
545,30395363
546,30391485
547,30389673
548,30389506
549,30382491
550,30382190
551,30382016
552,30375189
553,30375032
554,30359215
555,30358120
556,30341773
557,30341035
558,30338367
559,30337273
560,30333302
561,30326954
562,30321476
563,30315687
564,30311701
565,30306202
566,30303520
567,30286331
568,30284519
569,30284065
570,30274112
571,30266270
572,30264178
573,30249082
574,30248105
575,30247603
576,30239213
577,30233574
578,30225991
579,30223563
580,30219744
581,30212608
582,30208131
583,30204244
584,30199586
585,30196481
586,30195260
587,30193001
588,30191995
589,30184105
590,30181096
591,30175844
592,30172864
593,30170260
594,30160014
595,30154385
596,30153581
597,30148987
598,30148161
599,30144894
600,30139628
601,30133478
602,30132960
603,30131118
604,30126674
605,30125817
606,30120403
607,30113718
608,30111881
609,30107787
610,30103784
611,30100374
612,30098126
613,30071039
614,30068544
615,30060746
616,30056581
617,30048717
618,30043749
619,30042390
620,30033443
621,30031660
622,30029523
623,30020987
624,30020330
625,30001923
626,29998617
627,29991600
628,29987350
629,29985456
630,29982534
631,29978322
632,29974637
633,29971486
634,29969907
635,29964292
636,29961187
637,29960810
638,29959802
639,29958053
640,29949889
641,29947107
642,29944604
643,29934384
644,29933126
645,29921408
646,29921388
647,29907817
648,29895933
649,29895500
650,29881238
651,29876777
652,29872922
653,29867116
654,29854085
655,29844096
656,29807159
657,29789365
658,29768139
659,29762255
660,29760009
661,29758073
662,29745014
663,29738746
664,29736391
665,29736155
666,29734777
667,29719199
668,29719061
669,29702606
670,29696401
671,29695707
672,29693742
673,29668720
674,29666273
675,29662493
676,29661145
677,29654289
678,29638045
679,29637841
680,29635492
681,29632212
682,29625879
683,29621751
684,29618667
685,29618422
686,29617814
687,29616846
688,29604599
689,29603657
690,29599421
691,29596429
692,29596311
693,29590046
694,29581613
695,29578097
696,29574606
697,29572460
698,29571566
699,29571517
700,29569539
701,29568003
702,29555466
703,29553081
704,29551226
705,29546644
706,29546280
707,29540222
708,29538406
709,29534507
710,29525207
711,29524287
712,29524000
713,29523624
714,29520889
715,29519133
716,29516305
717,29515113
718,29510649
719,29507779
720,29503204
721,29502279
722,29498348
723,29496055
724,29486131
725,29482543
726,29481504
727,29473115
728,29469654
729,29467184
730,29461913
731,29458218
732,29452853
733,29447494
734,29443942
735,29439943
736,29425211
737,29423177
738,29420467
739,29418067
740,29417384
741,29407902
742,29407540
743,29406331
744,29401312
745,29396662
746,29382467
747,29378040
748,29378038
749,29361988
750,29360642
751,29358120
752,29352669
753,29339377
754,29336667
755,29327443
756,29320704
757,29299989
758,29299736
759,29298102
760,29278529
761,29267558
762,29266773
763,29264718
764,29250843
765,29246745
766,29233857
767,29229365
768,29228000
769,29215096
770,29200854
771,29197681
772,29193093
773,29192391
774,29187901
775,29185931
776,29178852
777,29178761
778,29177645
779,29175682
780,29168332
781,29165732
782,29161888
783,29161288
784,29154970
785,29153754
786,29146401
787,29134744
788,29133890
789,29132734
790,29120707
791,29105313
792,29099680
793,29097438
794,29096998
795,29086887
796,29080906
797,29078364
798,29073936
799,29068592
800,29065193
801,29059017
802,29058601
803,29050772
804,29048107
805,29027705
806,29026170
807,29026115
808,29024323
809,29020106
810,28987930
811,28986984
812,28983665
813,28982581
814,28980055
815,28978542
816,28967980
817,28962046
818,28938473
819,28938434
820,28937980
821,28923880
822,28923039
823,28922211
824,28915981
825,28912593
826,28910538
827,28910318
828,28891084
829,28886590
830,28884306
831,28878375
832,28870784
833,28870140
834,28857714
835,28855138
836,28853996
837,28840615
838,28837002
839,28831951
840,28826262
841,28819993
842,28819931
843,28814395
844,28809608
845,28806487
846,28804801
847,28801554
848,28791628
849,28779582
850,28776731
851,28774840
852,28768651
853,28767524
854,28762124
855,28758938
856,28753595
857,28752410
858,28752204
859,28750640
860,28747172
861,28744816
862,28738848
863,28738288
864,28735818
865,28719823
866,28719652
867,28719294
868,28708962
869,28697735
870,28696030
871,28688635
872,28685290
873,28684083
874,28679771
875,28675914
876,28668857
877,28665513
878,28658076
879,28657793
880,28642211
881,28639171
882,28637418
883,28631250
884,28627057
885,28625839
886,28624750
887,28612994
888,28612890
889,28611391
890,28611374
891,28601158
892,28597614
893,28587463
894,28585834
895,28536029
896,28526995
897,28513179
898,28511942
899,28508581
900,28500900
901,28500394
902,28497367
903,28497047
904,28494067
905,28486907
906,28467383
907,28466569
908,28466533
909,28454590
910,28447799
911,28444716
912,28436145
913,28436072
914,28432876
915,28421656
916,28420720
917,28418082
918,28416171
919,28414302
920,28413051
921,28396048
922,28395180
923,28392547
924,28391756
925,28379519
926,28378403
927,28374550
928,28372849
929,28362563
930,28362208
931,28351937
932,28351163
933,28350806
934,28348152
935,28347279
936,28341044
937,28340941
938,28337704
939,28335701
940,28329231
941,28327364
942,28319422
943,28315162
944,28301205
945,28296348
946,28295656
947,28292758
948,28273154
949,28266639
950,28262529
951,28259941
952,28251260
953,28245873
954,28243834
955,28241776
956,28237339
957,28235882
958,28233459
959,28230324
960,28219088
961,28215759
962,28214095
963,28214091
964,28212652
965,28198120
966,28190495
967,28189659
968,28165640
969,28165546
970,28160513
971,28159505
972,28158893
973,28143667
974,28139479
975,28139161
976,28133878
977,28133861
978,28131081
979,28122648
980,28121292
981,28117400
982,28113631
983,28099485
984,28097495
985,28094040
986,28087644
987,28086943
988,28081205
989,28081171
990,28077379
991,28063239
992,28063238
993,28061786
994,28058783
995,28054262
996,28043030
997,28041599
998,28039267
999,28035736
1000,28027641
1001,28025651
1002,28017642
1003,28017399
1004,28013424
1005,28012692
1006,28006991
1007,28006855
1008,27999162
1009,27996363
1010,27987414
1011,27977757
1012,27966651
1013,27959333
1014,27957489
1015,27941394
1016,27934951
1017,27929407
1018,27927270
1019,27923408
1020,27917625
1021,27903298
1022,27893623
1023,27893184
1024,27892954
1025,27887718
1026,27883239
1027,27880982
1028,27869712
1029,27863334
1030,27855089
1031,27852617
1032,27836979
1033,27826653
1034,27819690
1035,27605592
1036,27798013
1037,27797709
1038,27697570
1039,27782290
1040,27782071
1041,27764725
1042,27764091
1043,27761980
1044,27568054
1045,27544861
1046,27465919
1047,27753147
1048,27742707
1049,27696656
1050,27695782
1051,27690344
1052,27656840
1053,27655517
1054,27646125
1055,27633318
1056,27629871
1057,27628584
1058,27611701
1059,27611109
1060,27601284
1061,27595104
1062,27593525
1063,27585792
1064,27579536
1065,27575834
1066,27572327
1067,27558635
1068,27558580
1069,27541690
1070,27539060
1071,27531072
1072,27530969
1073,27528611
1074,27528215
1075,27527810
1076,27526682
1077,27520560
1078,27515872
1079,27511476
1080,27510655
1081,27499622
1082,27488098
1083,27486658
1084,27482678
1085,27480598
1086,27475087
1087,27475046
1088,27473871
1089,27470399
1090,27469245
1091,27466224
1092,27464984
1093,27460266
1094,27454528
1095,27438317
1096,27424131
1097,27418629
1098,27403531
1099,27391467
1100,27383196
1101,27382257
1102,27380868
1103,27374385
1104,27374303
1105,27362712
1106,27355663
1107,27353425
1108,27351245
1109,27349968
1110,27334434
1111,27329037
1112,27315439
1113,27314025
1114,27306948
1115,27306920
1116,27297718
1117,27297426
1118,27278926
1119,27278119
1120,27271712
1121,27271664
1122,27270872
1123,27269295
1124,27268605
1125,27267893
1126,27259508
1127,27234545
1128,27231056
1129,27217345
1130,27212809
1131,27211279
1132,27207196
1133,27198187
1134,27191247
1135,27187274
1136,27179851
1137,27169834
1138,27166794
1139,27157575
1140,27145364
1141,27135916
1142,27133033
1143,27129325
1144,27121235
1145,27115772
1146,27113605
1147,27109630
1148,27105646
1149,27104346
1150,27099175
1151,27091407
1152,27088898
1153,27088375
1154,27080870
1155,27079689
1156,27079636
1157,27078022
1158,27070903
1159,27069153
1160,27068054
1161,27056418
1162,27043932
1163,27032628
1164,27029034
1165,27022606
1166,27007793
1167,27006514
1168,27001260
1169,26988650
1170,26979433
1171,26974227
1172,26969836
1173,26969526
1174,26956126
1175,26930627
1176,26919910
1177,26908839
1178,26901221
1179,26898119
1180,26896863
1181,26889680
1182,26887115
1183,26881019
1184,26879066
1185,26878710
1186,26876762
1187,26874901
1188,26869526
1189,26864365
1190,26857646
1191,26856308
1192,26855561
1193,26853514
1194,26850813
1195,26849125
1196,26843154
1197,26841335
1198,26837542
1199,26833454
1200,26829360
1201,26828922
1202,26827840
1203,26820395
1204,26817717
1205,26813890
1206,26803169
1207,26796101
1208,26791870
1209,26791079
1210,26790823
1211,26787822
1212,26778544
1213,26771737
1214,26763800
1215,26752139
1216,26752109
1217,26748734
1218,26739996
1219,26739759
1220,26736036
1221,26715485
1222,26706270
1223,26699542
1224,26686385
1225,26679329
1226,26675771
1227,26674765
1228,26674503
1229,26657820
1230,26655888
1231,26652797
1232,26648582
1233,26644535
1234,26643917
1235,26636572
1236,26632177
1237,26630680
1238,26605849
1239,26603881
1240,26597253
1241,26595362
1242,26595151
1243,26593266
1244,26592168
1245,26590963
1246,26590194
1247,26581682
1248,26579797
1249,26571012
1250,26561617
1251,26556955
1252,26555159
1253,26529110
1254,26518594
1255,26504842
1256,26499845
1257,26497268
1258,26494780
1259,26488737
1260,26482244
1261,26473489
1262,26469916
1263,26462674
1264,26460907
1265,26456622
1266,26451686
1267,26450639
1268,26449623
1269,26445092
1270,26433456
1271,26432919
1272,26429912
1273,26429068
1274,26425705
1275,26424731
1276,26419198
1277,26418742
1278,26412535
1279,26412511
1280,26410392
1281,26406067
1282,26399199
1283,26398817
1284,26395774
1285,26393847
1286,26381232
1287,26371706
1288,26370380
1289,26368131
1290,26365989
1291,26362286
1292,26351971
1293,26348402
1294,26345804
1295,26344811
1296,26341915
1297,26337751
1298,26334651
1299,26333512
1300,26333343
1301,26316273
1302,26316025
1303,26314662
1304,26314577
1305,26313312
1306,26305876
1307,26300710
1308,26296497
1309,26290009
1310,26289425
1311,26283743
1312,26282681
1313,26282525
1314,26278005
1315,26275653
1316,26271312
1317,26270134
1318,26268913
1319,26268314
1320,26268313
1321,26263832
1322,26258571
1323,26254703
1324,26250487
1325,26249793
1326,26249791
1327,26243622
1328,26238225
1329,26229448
1330,26226778
1331,26220871
1332,26220050
1333,26194648
1334,26191780
1335,26178731
1336,26165622
1337,26159939
1338,26147010
1339,26142652
1340,26139453
1341,26134988
1342,26130740
1343,26115087
1344,26112014
1345,26109819
1346,26101311
1347,26100928
1348,26100924
1349,26094889
1350,26091286
1351,26083769
1352,26079612
1353,26070003
1354,26069253
1355,26068921
1356,26054881
1357,26053391
1358,26048277
1359,26048004
1360,26047963
1361,26047673
1362,26046463
1363,26042362
1364,26040627
1365,26020391
1366,26004166
1367,26001091
1368,25989617
1369,25981347
1370,25953600
1371,25952818
1372,25952687
1373,25947165
1374,25945350
1375,25942341
1376,25927528
1377,25927360
1378,25926415
1379,25926408
1380,25922170
1381,25921849
1382,25920759
1383,25916246
1384,25901453
1385,25897826
1386,25889343
1387,25881633
1388,25880012
1389,25879810
1390,25867865
1391,25867599
1392,25866129
1393,25864712
1394,25861836
1395,25851421
1396,25850433
1397,25840790
1398,25831269
1399,25827448
1400,25827407
1401,25824185
1402,25817373
1403,25796419
1404,25788001
1405,25782657
1406,25781608
1407,25779953
1408,25776251
1409,25771533
1410,25771261
1411,25767805
1412,25767039
1413,25765512
1414,25760389
1415,25757997
1416,25744449
1417,25742699
1418,25736389
1419,25733635
1420,25733627
1421,25733516
1422,25716646
1423,25714798
1424,25712760
1425,25692143
1426,25688638
1427,25687423
1428,25683060
1429,25679398
1430,25663218
1431,25659114
1432,25646817
1433,25632395
1434,25629663
1435,25626448
1436,25622869
1437,25618800
1438,25617625
1439,25609689
1440,25607934
1441,25605813
1442,25599925
1443,25592412
1444,25589610
1445,25585278
1446,25585164
1447,25581207
1448,25578447
1449,25575806
1450,25575447
1451,25573539
1452,25564143
1453,25559055
1454,25552432
1455,25542740
1456,25542379
1457,25535255
1458,25534726
1459,25532487
1460,25527747
1461,25522406
1462,25521589
1463,25500202
1464,25498773
1465,25494333
1466,25482371
1467,25480468
1468,25479564
1469,25473210
1470,25467848
1471,25466664
1472,25453395
1473,25451001
1474,25445614
1475,25442689
1476,25440995
1477,25440375
1478,25426834
1479,25419678
1480,25418912
1481,25405916
1482,25404002
1483,25402337
1484,25401392
1485,25395315
1486,25391138
1487,25386711
1488,25379773
1489,25378645
1490,25378424
1491,25365688
1492,25363381
1493,25354725
1494,25352640
1495,25344361
1496,25343955
1497,25336730
1498,25330000
1499,25327812
1500,25322916
1501,25316904
1502,25312556
1503,25312348
1504,25306116
1505,25304548
1506,25304546
1507,25299601
1508,25294382
1509,25293397
1510,25288513
1511,25279787
1512,25275520
1513,25268878
1514,25263929
1515,25262458
1516,25246692
1517,25240548
1518,25239609
1519,25229409
1520,25209323
1521,25205868
1522,25201950
1523,25179679
1524,25175601
1525,25172490
1526,25172488
1527,25171552
1528,25156127
1529,25149022
1530,25143830
1531,25136601
1532,25125505
1533,25123256
1534,25121620
1535,25115807
1536,25111763
1537,25111667
1538,25106897
1539,25100147
1540,25099540
1541,25099395
1542,25098453
1543,25091663
1544,25070755
1545,25064455
1546,25058560
1547,25057032
1548,25057028
1549,25056226
1550,25051005
1551,25050518
1552,25047705
1553,25045806
1554,25042846
1555,25002497
1556,24991883
1557,24984992
1558,24983989
1559,24982236
1560,24976431
1561,24974383
1562,24967392
1563,24965302
1564,24960641
1565,24957429
1566,24948401
1567,24945526
1568,24944062
1569,24944058
1570,24943673
1571,24940606
1572,24939425
1573,24930599
1574,24929184
1575,24926525
1576,24916165
1577,24914549
1578,24907348
1579,24906931
1580,24905834
1581,24905629
1582,24904022
1583,24903620
1584,24901538
1585,24899156
1586,24898233
1587,24886116
1588,24874737
1589,24872682
1590,24872191
1591,24862677
1592,24859147
1593,24858913
1594,24856381
1595,24855212
1596,24850229
1597,24845183
1598,24831981
1599,24824310
1600,24811202
1601,24798862
1602,24798325
1603,24795303
1604,24793528
1605,24793300
1606,24787471
1607,24771854
1608,24769293
1609,24759113
1610,24753695
1611,24743550
1612,24732724
1613,24726027
1614,24722226
1615,24719873
1616,24715424
1617,24714552
1618,24711635
1619,24705888
1620,24705018
1621,24704223
1622,24699132
1623,24698316
1624,24695125
1625,24678280
1626,24667663
1627,24667577
1628,24664244
1629,24663205
1630,24652602
1631,24647393
1632,24632608
1633,24629994
1634,24614017
1635,24612734
1636,24609919
1637,24602005
1638,24591296
1639,24590515
1640,24588644
1641,24587636
1642,24561812
1643,24560674
1644,24549548
1645,24548293
1646,24533064
1647,24530151
1648,24525278
1649,24519196
1650,24516675
1651,24505254
1652,24503266
1653,24502766
1654,24496840
1655,24485485
1656,24476775
1657,24460876
1658,24453924
1659,24448401
1660,24440112
1661,24438460
1662,24430654
1663,24423343
1664,24418874
1665,24418242
1666,24412053
1667,24408211
1668,24391880
1669,24388357
1670,24378467
1671,24376878
1672,24374379
1673,25835233
1674,24370492
1675,24364144
1676,24349532
1677,24349432
1678,24346292
1679,24345179
1680,24338022
1681,24335524
1682,24332065
1683,24331685
1684,24329481
1685,24329107
1686,24325327
1687,24316553
1688,24311515
1689,24297177
1690,24290374
1691,24288948
1692,24266327
1693,24262587
1694,24260740
1695,24260150
1696,24260122
1697,24252510
1698,24244349
1699,24244307
1700,24238399
1701,24218500
1702,24204746
1703,24201066
1704,24196965
1705,24190544
1706,24184796
1707,24183981
1708,24183072
1709,24175293
1710,24170677
1711,24168791
1712,24167613
1713,24164779
1714,24160414
1715,24153347
1716,24147895
1717,24140602
1718,24129110
1719,24126211
1720,24121257
1721,24120932
1722,24117923
1723,24111364
1724,24108782
1725,24096076
1726,24089058
1727,24075613
1728,24069148
1729,24063909
1730,24051169
1731,24034853
1732,24025630
1733,24014021
1734,24006819
1735,24005416
1736,24004888
1737,23999817
1738,23966615
1739,23964055
1740,23964054
1741,23962703
1742,23957307
1743,23937689
1744,23933474
1745,23931131
1746,23906160
1747,23901023
1748,23841355
1749,23840710
1750,23830301
1751,23828383
1752,23825402
1753,23816284
1754,23809982
1755,23801333
1756,23798671
1757,23790989
1758,23791975
1759,23782504
1760,23780902
1761,23775442
1762,23773718
1763,23770909
1764,23754575
1765,23747105
1766,23727530
1767,23726389
1768,23725116
1769,23718808
1770,23714686
1771,23713668
1772,23707935
1773,23706033
1774,23672237
1775,23670706
1776,23666018
1777,23645178
1778,23644043
1779,23631827
1780,23603346
1781,23603239
1782,23596888
1783,23586936
1784,23579949
1785,23579036
1786,23563546
1787,23562512
1788,23557025
1789,23554905
1790,23553151
1791,23548468
1792,23535211
1793,23532957
1794,23530036
1795,23517508
1796,23516504
1797,23509106
1798,23507227
1799,23494802
1800,23447677
1801,23447607
1802,23440187
1803,23437131
1804,23418772
1805,23408699
1806,23402115
1807,23384237
1808,23375866
1809,23366282
1810,23360676
1811,23351338
1812,23340248
1813,23339700
1814,23319864
1815,23317659
1816,23316693
1817,23293914
1818,23274083
1819,23251374
1820,23248172
1821,23247700
1822,23245760
1823,23243248
1824,23235272
1825,23233531
1826,23228172
1827,23227200
1828,23202523
1829,23198999
1830,23193010
1831,23182694
1832,23176112
1833,23163421
1834,23153449
1835,23136121
1836,23109475
1837,23108937
1838,23106658
1839,23105094
1840,23099431
1841,23097564
1842,23096113
1843,23078397
1844,23063758
1845,23051772
1846,23048133
1847,23036114
1848,23011539
1849,22997185
1850,22993421
1851,22990943
1852,22978585
1853,22966096
1854,22966077
1855,22938002
1856,22924372
1857,22913421
1858,22912456
1859,22905819
1860,22897048
1861,22895380
1862,22863058
1863,22854015
1864,22847178
1865,22844697
1866,22840987
1867,22813682
1868,22807481
1869,22802186
1870,22802167
1871,22791230
1872,22791128
1873,22785160
1874,22766389
1875,22747608
1876,22731747
1877,22731641
1878,22708837
1879,22689668
1880,22686373
1881,22682883
1882,22669153
1883,22656335
1884,22645252
1885,22641159
1886,22623396
1887,22578161
1888,22577889
1889,22569895
1890,22556410
1891,22553809
1892,22541328
1893,22538083
1894,22534365
1895,22522601
1896,22502699
1897,22488208
1898,22472896
1899,22472791
1900,22445890
1901,22444553
1902,22404812
1903,22396394
1904,22387704
1905,22382090
1906,22373658
1907,22365146
1908,22349592
1909,22338233
1910,22327475
1911,22319873
1912,22313587
1913,22310746
1914,22307237
1915,22293088
1916,22267715
1917,22267336
1918,22266487
1919,22261990
1920,22250063
1921,22239037
1922,22230592
1923,22223574
1924,22176632
1925,22164957
1926,22151937
1927,22142867
1928,22123184
1929,22121027
1930,22102413
1931,22092081
1932,22091562
1933,22085427
1934,22080014
1935,22077562
1936,22030223
1937,22019441
1938,22017511
1939,22005678
1940,22000927
1941,21999662
1942,21983050
1943,21962566
1944,21947848
1945,21943503
1946,21943055
1947,21931871
1948,21910949
1949,21901335
1950,21871491
1951,21868743
1952,21861683
1953,21834938
1954,21831993
1955,21831726
1956,21827777
1957,21824202
1958,21801490
1959,21767277
1960,21763106
1961,21752453
1962,21751372
1963,21740575
