Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,15,0.01,0.01,0.5261931219233776
75% Corpus,15,0.01,0.5,0.5079735883224857
75% Corpus,15,0.01,1,0.5110902237848026
75% Corpus,15,0.01,symmetric,0.5277468097417406
75% Corpus,15,0.5,0.01,0.5669801055179472
75% Corpus,15,0.5,0.5,0.5137810359337589
75% Corpus,15,0.5,1,0.5306504682735379
75% Corpus,15,0.5,symmetric,0.5456932337521909
75% Corpus,15,1,0.01,0.5513312359744577
75% Corpus,15,1,0.5,0.5449731909618877
75% Corpus,15,1,1,0.5260742341668766
75% Corpus,15,1,symmetric,0.5357534746153169
75% Corpus,15,symmetric,0.01,0.5261157114577361
75% Corpus,15,symmetric,0.5,0.5045972963030194
75% Corpus,15,symmetric,1,0.5093916101803274
75% Corpus,15,symmetric,symmetric,0.5222966641421046
75% Corpus,15,asymmetric,0.01,0.5257721520272051
75% Corpus,15,asymmetric,0.5,0.5041070204877159
75% Corpus,15,asymmetric,1,0.5056727773530114
75% Corpus,15,asymmetric,symmetric,0.5364222733708263
75% Corpus,17,0.01,0.01,0.5504661711860376
75% Corpus,17,0.01,0.5,0.5328755809911835
75% Corpus,17,0.01,1,0.5678469370768696
75% Corpus,17,0.01,symmetric,0.5022698038739498
75% Corpus,17,0.5,0.01,0.5370049763709168
75% Corpus,17,0.5,0.5,0.541028368730162
75% Corpus,17,0.5,1,0.5473146473280424
75% Corpus,17,0.5,symmetric,0.5376936651637192
75% Corpus,17,1,0.01,0.5309720875150399
75% Corpus,17,1,0.5,0.536495502450588
75% Corpus,17,1,1,0.5017300651467577
75% Corpus,17,1,symmetric,0.5265684727481295
75% Corpus,17,symmetric,0.01,0.5492988019605951
75% Corpus,17,symmetric,0.5,0.5375745762026086
75% Corpus,17,symmetric,1,0.5480150764743128
75% Corpus,17,symmetric,symmetric,0.5193490687690678
75% Corpus,17,asymmetric,0.01,0.5525142979179544
75% Corpus,17,asymmetric,0.5,0.5249137644598721
75% Corpus,17,asymmetric,1,0.5573359148531366
75% Corpus,17,asymmetric,symmetric,0.554193431454896
75% Corpus,19,0.01,0.01,0.546655856349462
75% Corpus,19,0.01,0.5,0.5372914952265406
75% Corpus,19,0.01,1,0.5489941068272647
75% Corpus,19,0.01,symmetric,0.5450850931501836
75% Corpus,19,0.5,0.01,0.5370357684164652
75% Corpus,19,0.5,0.5,0.5456372663473474
75% Corpus,19,0.5,1,0.5508940907777319
75% Corpus,19,0.5,symmetric,0.5286303509047714
75% Corpus,19,1,0.01,0.5310480890918399
75% Corpus,19,1,0.5,0.52992537537428
75% Corpus,19,1,1,0.5372584177724755
75% Corpus,19,1,symmetric,0.5397142521018646
75% Corpus,19,symmetric,0.01,0.5434824556631405
75% Corpus,19,symmetric,0.5,0.5412037566741449
75% Corpus,19,symmetric,1,0.569933983883107
75% Corpus,19,symmetric,symmetric,0.5308619358519537
75% Corpus,19,asymmetric,0.01,0.5306629323510457
75% Corpus,19,asymmetric,0.5,0.5226340983230129
75% Corpus,19,asymmetric,1,0.540949985448184
75% Corpus,19,asymmetric,symmetric,0.519466162145116
75% Corpus,21,0.01,0.01,0.5168641211848839
75% Corpus,21,0.01,0.5,0.5483903089143154
75% Corpus,21,0.01,1,0.5550038338283805
75% Corpus,21,0.01,symmetric,0.5194586640300701
75% Corpus,21,0.5,0.01,0.5372705832564081
75% Corpus,21,0.5,0.5,0.5239022667996784
75% Corpus,21,0.5,1,0.5460810418497528
75% Corpus,21,0.5,symmetric,0.5290933607527301
75% Corpus,21,1,0.01,0.5344116371518253
75% Corpus,21,1,0.5,0.5313389481745118
75% Corpus,21,1,1,0.524638918274532
75% Corpus,21,1,symmetric,0.5227438328590845
75% Corpus,21,symmetric,0.01,0.5179918337629597
75% Corpus,21,symmetric,0.5,0.5242748686383968
75% Corpus,21,symmetric,1,0.5451974020575845
