Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,17,0.01,0.01,0.517080221823381
75% Corpus,17,0.01,0.5,0.513905103957996
75% Corpus,17,0.01,1,0.4918517009939894
75% Corpus,17,0.01,symmetric,0.5300236572818997
75% Corpus,17,0.5,0.01,0.5379714206929143
75% Corpus,17,0.5,0.5,0.5322974158168555
75% Corpus,17,0.5,1,0.5143427274888935
75% Corpus,17,0.5,symmetric,0.5356256699624174
75% Corpus,17,1,0.01,0.5323423710299922
75% Corpus,17,1,0.5,0.5296572793800846
75% Corpus,17,1,1,0.5437942344907188
75% Corpus,17,1,symmetric,0.5384577025561895
75% Corpus,17,symmetric,0.01,0.5329764873004504
75% Corpus,17,symmetric,0.5,0.5107104267625309
75% Corpus,17,symmetric,1,0.5300535383421883
75% Corpus,17,symmetric,symmetric,0.5291272515113071
75% Corpus,17,asymmetric,0.01,0.5280253708385562
75% Corpus,17,asymmetric,0.5,0.5109557184508027
75% Corpus,17,asymmetric,1,0.5339306694923609
75% Corpus,17,asymmetric,symmetric,0.5336934518527683
100% Corpus,17,0.01,0.01,0.5266593911860273
100% Corpus,17,0.01,0.5,0.5347012561733521
100% Corpus,17,0.01,1,0.5309603466446341
100% Corpus,17,0.01,symmetric,0.5178328554678591
100% Corpus,17,0.5,0.01,0.5323494168695291
100% Corpus,17,0.5,0.5,0.5218152371173345
100% Corpus,17,0.5,1,0.5358430935440369
100% Corpus,17,0.5,symmetric,0.5226324061109356
100% Corpus,17,1,0.01,0.5375872221724982
100% Corpus,17,1,0.5,0.5185758725227781
100% Corpus,17,1,1,0.5444493376459181
100% Corpus,17,1,symmetric,0.5328061001832467
100% Corpus,17,symmetric,0.01,0.523047955220813
100% Corpus,17,symmetric,0.5,0.5154824414744267
100% Corpus,17,symmetric,1,0.5278704002346305
100% Corpus,17,symmetric,symmetric,0.49739249876271785
100% Corpus,17,asymmetric,0.01,0.5300517067971885
100% Corpus,17,asymmetric,0.5,0.534654672617584
100% Corpus,17,asymmetric,1,0.5456976364281223
100% Corpus,17,asymmetric,symmetric,0.534373469010178
