Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,15,0.01,0.01,0.469469138174906
75% Corpus,15,0.01,0.5,0.4243706120427462
75% Corpus,15,0.01,1,0.4621060813853598
75% Corpus,15,0.01,symmetric,0.4319320048169158
75% Corpus,15,0.5,0.01,0.5968630202789351
75% Corpus,15,0.5,0.5,0.5222331386956532
75% Corpus,15,0.5,1,0.6153895186767913
75% Corpus,15,0.5,symmetric,0.5623273583751913
75% Corpus,15,1,0.01,0.540794241972721
75% Corpus,15,1,0.5,0.5645810556531633
75% Corpus,15,1,1,0.39253608237017157
75% Corpus,15,1,symmetric,0.5467001345643571
75% Corpus,15,symmetric,0.01,0.44248228506482595
75% Corpus,15,symmetric,0.5,0.44314764376094046
75% Corpus,15,symmetric,1,0.5690986581756137
75% Corpus,15,symmetric,symmetric,0.4184008661847304
75% Corpus,15,asymmetric,0.01,0.4125601728548608
75% Corpus,15,asymmetric,0.5,0.35802161679758593
75% Corpus,15,asymmetric,1,0.3269522295575987
75% Corpus,15,asymmetric,symmetric,0.4420610231739301
75% Corpus,17,0.01,0.01,0.47548577108695805
75% Corpus,17,0.01,0.5,0.42295525473431284
75% Corpus,17,0.01,1,0.46537302924532264
75% Corpus,17,0.01,symmetric,0.440040169557892
75% Corpus,17,0.5,0.01,0.5803076180642481
75% Corpus,17,0.5,0.5,0.5411799074134467
75% Corpus,17,0.5,1,0.5543153391288297
75% Corpus,17,0.5,symmetric,0.5783717803734612
75% Corpus,17,1,0.01,0.5272490388891033
75% Corpus,17,1,0.5,0.5535185840356683
75% Corpus,17,1,1,0.3895127130315259
75% Corpus,17,1,symmetric,0.5457176124630627
75% Corpus,17,symmetric,0.01,0.4356815466412737
75% Corpus,17,symmetric,0.5,0.4221608433771002
75% Corpus,17,symmetric,1,0.5105692636257739
75% Corpus,17,symmetric,symmetric,0.4323441692079624
75% Corpus,17,asymmetric,0.01,0.4424247275340289
75% Corpus,17,asymmetric,0.5,0.349753258346846
75% Corpus,17,asymmetric,1,0.37412858370162
75% Corpus,17,asymmetric,symmetric,0.43850567224114956
75% Corpus,19,0.01,0.01,0.47183176710307906
75% Corpus,19,0.01,0.5,0.38052912118120785
75% Corpus,19,0.01,1,0.4196598828790776
75% Corpus,19,0.01,symmetric,0.4309548470319604
75% Corpus,19,0.5,0.01,0.5578996090101909
75% Corpus,19,0.5,0.5,0.53038070356199
75% Corpus,19,0.5,1,0.5665560445269383
75% Corpus,19,0.5,symmetric,0.5620537267260564
75% Corpus,19,1,0.01,0.5128553220922033
75% Corpus,19,1,0.5,0.5146613854603808
75% Corpus,19,1,1,0.4231081013328662
75% Corpus,19,1,symmetric,0.5187654012676401
75% Corpus,19,symmetric,0.01,0.46443645319739674
75% Corpus,19,symmetric,0.5,0.4423939355549546
75% Corpus,19,symmetric,1,0.49054501260375183
75% Corpus,19,symmetric,symmetric,0.4063943957022243
75% Corpus,19,asymmetric,0.01,0.37485792440809956
75% Corpus,19,asymmetric,0.5,0.381519341478692
75% Corpus,19,asymmetric,1,0.41722440024897695
75% Corpus,19,asymmetric,symmetric,0.40360786871976734
